AssetID,AssetName,AssetNodeId,MeasurementPointID,MeasurementPointName,PhysicalQuantity,Unit of Measure,Prefix,AccessRights,DataType
1046,Cabinet,GK.RV.01,1,BatteryVoltage,Voltage,Voltage,NoPrefix,Read,Float
1047,Cabinet,GK.RV.01,2,CabinetDoorIsOpen,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1048,Cabinet,GK.RV.01,3,cmdcontrolIsLocal,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1049,Cabinet,GK.RV.01,4,cmdOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int16
1050,Cabinet,GK.RV.01,5,ControlTemperature,NoQuantity,NoUoM,NoPrefix,Read,Float
1051,Cabinet,GK.RV.01,6,HeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Float
1052,Cabinet,GK.RV.01,7,HeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Float
1053,Cabinet,GK.RV.01,8,Params.DefaultHeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Int32
1054,Cabinet,GK.RV.01,9,Params.DefaultHeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Int32
1019,Cabinet,GK.RV.01,9,statOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int32
