AssetID,AssetName,AssetNodeId,MeasurementPointID,MeasurementPointName,PhysicalQuantity,Unit of Measure,Prefix,AccessRights,DataType
1001,Cabinet,GK.MRB.01,1,BatteryVoltage,Voltage,Voltage,NoPrefix,Read,Float
1002,Cabinet,GK.MRB.01,2,CabinetDoorIsOpen,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1003,Cabinet,GK.MRB.01,3,cmdcontrolIsLocal,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1004,Cabinet,GK.MRB.01,4,cmdOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int16
1005,Cabinet,GK.MRB.01,5,ControlTemperature,NoQuantity,NoUoM,NoPrefix,Read,Float
1006,Cabinet,GK.MRB.01,6,HeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Float
1007,Cabinet,GK.MRB.01,7,HeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Float
1008,Cabinet,GK.MRB.01,8,Params.DefaultHeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Int32
1009,Cabinet,GK.MRB.01,9,Params.DefaultHeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Int32

1010,Cabinet,GK.AKM.03,1,BatteryVoltage,Voltage,Voltage,NoPrefix,Read,Float
1011,Cabinet,GK.AKM.03,2,CabinetDoorIsOpen,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1012,Cabinet,GK.AKM.03,3,cmdcontrolIsLocal,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1013,Cabinet,GK.AKM.03,4,cmdOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int16
1014,Cabinet,GK.AKM.03,5,ControlTemperature,NoQuantity,NoUoM,NoPrefix,Read,Float
1015,Cabinet,GK.AKM.03,6,HeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Float
1016,Cabinet,GK.AKM.03,7,HeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Float
1017,Cabinet,GK.AKM.03,8,Params.DefaultHeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Int32
1018,Cabinet,GK.AKM.03,9,Params.DefaultHeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Int32


1019,Cabinet,GK.KTR.01,1,BatteryVoltage,Voltage,Voltage,NoPrefix,Read,Float
1020,Cabinet,GK.KTR.01,2,CabinetDoorIsOpen,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1021,Cabinet,GK.KTR.01,3,cmdcontrolIsLocal,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1022,Cabinet,GK.KTR.01,4,cmdOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int16
1023,Cabinet,GK.KTR.01,5,ControlTemperature,NoQuantity,NoUoM,NoPrefix,Read,Float
1024,Cabinet,GK.KTR.01,6,HeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Float
1025,Cabinet,GK.KTR.01,7,HeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Float
1026,Cabinet,GK.KTR.01,8,Params.DefaultHeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Int32
1027,Cabinet,GK.KTR.01,9,Params.DefaultHeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Int32


1028,Cabinet,GK.WW.01,1,BatteryVoltage,Voltage,Voltage,NoPrefix,Read,Float
1029,Cabinet,GK.WW.01,2,CabinetDoorIsOpen,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1030,Cabinet,GK.WW.01,3,cmdcontrolIsLocal,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1031,Cabinet,GK.WW.01,4,cmdOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int16
1032,Cabinet,GK.WW.01,5,ControlTemperature,NoQuantity,NoUoM,NoPrefix,Read,Float
1033,Cabinet,GK.WW.01,6,HeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Float
1034,Cabinet,GK.WW.01,7,HeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Float
1035,Cabinet,GK.WW.01,8,Params.DefaultHeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Int32
1036,Cabinet,GK.WW.01,9,Params.DefaultHeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Int32



1037,Cabinet,GK.GO.01,1,BatteryVoltage,Voltage,Voltage,NoPrefix,Read,Float
1038,Cabinet,GK.GO.01,2,CabinetDoorIsOpen,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1039,Cabinet,GK.GO.01,3,cmdcontrolIsLocal,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1040,Cabinet,GK.GO.01,4,cmdOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int16
1041,Cabinet,GK.GO.01,5,ControlTemperature,NoQuantity,NoUoM,NoPrefix,Read,Float
1042,Cabinet,GK.GO.01,6,HeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Float
1043,Cabinet,GK.GO.01,7,HeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Float
1044,Cabinet,GK.GO.01,8,Params.DefaultHeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Int32
1045,Cabinet,GK.GO.01,9,Params.DefaultHeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Int32



1046,Cabinet,GK.RV.01,1,BatteryVoltage,Voltage,Voltage,NoPrefix,Read,Float
1047,Cabinet,GK.RV.01,2,CabinetDoorIsOpen,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1048,Cabinet,GK.RV.01,3,cmdcontrolIsLocal,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1049,Cabinet,GK.RV.01,4,cmdOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int16
1050,Cabinet,GK.RV.01,5,ControlTemperature,NoQuantity,NoUoM,NoPrefix,Read,Float
1051,Cabinet,GK.RV.01,6,HeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Float
1052,Cabinet,GK.RV.01,7,HeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Float
1053,Cabinet,GK.RV.01,8,Params.DefaultHeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Int32
1054,Cabinet,GK.RV.01,9,Params.DefaultHeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Int32


1055,Cabinet,GK.RV.02,1,BatteryVoltage,Voltage,Voltage,NoPrefix,Read,Float
1056,Cabinet,GK.RV.02,2,CabinetDoorIsOpen,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1057,Cabinet,GK.RV.02,3,cmdcontrolIsLocal,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1058,Cabinet,GK.RV.02,4,cmdOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int16
1059,Cabinet,GK.RV.02,5,ControlTemperature,NoQuantity,NoUoM,NoPrefix,Read,Float
1060,Cabinet,GK.RV.02,6,HeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Float
1061,Cabinet,GK.RV.02,7,HeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Float
1062,Cabinet,GK.RV.02,8,Params.DefaultHeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Int32
1063,Cabinet,GK.RV.02,9,Params.DefaultHeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Int32


1064,Cabinet,GK.ZLW.10,1,BatteryVoltage,Voltage,Voltage,NoPrefix,Read,Float
1065,Cabinet,GK.ZLW.10,2,CabinetDoorIsOpen,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1066,Cabinet,GK.ZLW.10,3,cmdcontrolIsLocal,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1067,Cabinet,GK.ZLW.10,4,cmdOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int16
1068,Cabinet,GK.ZLW.10,5,ControlTemperature,NoQuantity,NoUoM,NoPrefix,Read,Float
1069,Cabinet,GK.ZLW.10,6,HeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Float
1070,Cabinet,GK.ZLW.10,7,HeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Float
1071,Cabinet,GK.ZLW.10,8,Params.DefaultHeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Int32
1072,Cabinet,GK.ZLW.10,9,Params.DefaultHeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Int32


1073,Cabinet,GK.ZLW.11,1,BatteryVoltage,Voltage,Voltage,NoPrefix,Read,Float
1074,Cabinet,GK.ZLW.11,2,CabinetDoorIsOpen,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1075,Cabinet,GK.ZLW.11,3,cmdcontrolIsLocal,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1076,Cabinet,GK.ZLW.11,4,cmdOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int16
1077,Cabinet,GK.ZLW.11,5,ControlTemperature,NoQuantity,NoUoM,NoPrefix,Read,Float
1078,Cabinet,GK.ZLW.11,6,HeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Float
1079,Cabinet,GK.ZLW.11,7,HeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Float
1080,Cabinet,GK.ZLW.11,8,Params.DefaultHeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Int32
181,Cabinet,GK.ZLW.11,9,Params.DefaultHeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Int32
