AssetID,AssetName,AssetNodeId,MeasurementPointID,MeasurementPointName,PhysicalQuantity,Unit of Measure,Prefix,AccesRights,DataType
100,WVI-00000002,WVI-00000002,1,CurrentOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int16
100,WVI-00000002,WVI-00000002,3,CurrentControlSetting,NoQuantity,NoUoM,NoPrefix,Both,Int16
101,WVI-00000002.CurrentHeatingcurveSetPoints,CurrentHeatingcurveSetPoints,5,SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Float
101,WVI-00000002.CurrentHeatingcurveSetPoints,CurrentHeatingcurveSetPoints,7,SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Float
102,WVI-00000002.StatusUpdates,StatusUpdates,9,StatusCode,NoQuantity,NoUoM,NoPrefix,Read,String
102,WVI-00000002.StatusUpdates,StatusUpdates,11,StatusText,NoQuantity,NoUoM,NoPrefix,Read,String
103,WVI-00000002.Params,Params,13,StartWVICommunicationTimeoutWVI,NoQuantity,NoUoM,NoPrefix,Both,Int32
103,WVI-00000002.Params,Params,15,CommunicationHeartbeatWVITimeout,NoQuantity,NoUoM,NoPrefix,Both,Int32
103,WVI-00000002.Params,Params,17,MaxStatusUpdateMessagesPSIInterval,NoQuantity,NoUoM,NoPrefix,Both,Int32
103,WVI-00000002.Params,Params,19,TestBurningDuration,NoQuantity,NoUoM,NoPrefix,Both,Int32
103,WVI-00000002.Params,Params,21,DefaultHeatingcurveSetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Int32
103,WVI-00000002.Params,Params,23,DefaultHeatingcurveSetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Int32
104,WVI-00000002.GK-TST-02,GK-TST-02,25,MiStartupDateTime,NoQuantity,NoUoM,NoPrefix,Read,String
104,WVI-00000002.GK-TST-02,GK-TST-02,27,CurrentlyHeating,NoQuantity,NoUoM,NoPrefix,Read,Int16
104,WVI-00000002.GK-TST-02,GK-TST-02,29,PositionMainSwitch,NoQuantity,NoUoM,NoPrefix,Read,Int16
